Country;unit;2015;2016;2017;2018;2019;data source
Albania;metr. t;2190;2020;0;3780;5900;r
Argentina;metr. t;61765;81902;33303;17435;0;r
Armenia;metr. t;51765;95080;95793;68928;91214;r
Australia;metr. t;995881;947555;849121;910896;934055;r
Azerbaijan;metr. t;969;1947;2063;1650;2213;r
Bolivia;metr. t;9479;8718;7219;5216;4478;r
Botswana;metr. t;22284;13120;1239;1462;0;r
Brazil;metr. t;350940;338921;384542;385762;363268;r
Bulgaria;metr. t;112600;111870;110290;112850;114240;r
Canada;metr. t;714647;695508;597194;548011;560800;r
Chile;metr. t;5772100;5552600;5503500;5831600;5787400;r
China;metr. t;1706400;1851000;1706400;1618480;1683450;r
Colombia;metr. t;5463;8493;9356;9918;7641;r
Congo, D.R.;metr. t;1039007;1023687;1094638;1239059;1461124;r
Congo, Rep.;metr. t;;0;15979;18018;18760;r
Cyprus;metr. t;2121;1754;1293;908;703;r
Dominican Republic;metr. t;7324;9725;9618;8588;6047;r
Ecuador;metr. t;1400;40200;8200;42200;9900;r
Eritrea;metr. t;61600;25300;7900;17300;16008;r
Finland;metr. t;41805;47488;53144;46755;32861;r
Georgia;metr. t;11700;12200;14700;15650;5500;r
Germany;metr. t;42;41;63;51;40;e
India;metr. t;34220;29670;31550;31180;29550;r
Indonesia;metr. t;586914;727959;621979;651132;351080;r
Iran;metr. t;254709;282500;295653;316380;308270;r
Kazakhstan;metr. t;467500;471500;540700;632550;604470;r
Korea, North;metr. t;15000;20000;15000;15000;2000;e
Korea, South;metr. t;0;117;7;0;0;r
Kyrgyzstan;metr. t;3100;8638;8956;8813;8640;r
Laos;metr. t;167702;167679;153304;154948;140935;r
Mauritania;metr. t;45001;32818;28791;28137;29620;r
Mexico;metr. t;594451;793982;742246;696580;713704;r
Mongolia;metr. t;335850;374260;314920;309750;292110;r
Morocco;metr. t;26850;31810;35420;32430;30720;r
Myanmar;metr. t;69850;94390;126930;179310;219200;r
Namibia;metr. t;13913;16391;15466;15177;14940;r
North Macedonia;metr. t;11102;10429;8966;7718;7231;r
Oman;metr. t;8650;0;0;0;0;r
Pakistan;metr. t;13056;14136;10052;12538;13049;r
Panama;metr. t;;;;0;147480;r
Papua New Guinea;metr. t;45185;80022;105448;96277;99432;r
Peru;metr. t;1700817;2353859;2445585;2437035;2455440;r
Philippines;metr. t;83835;83649;68156;69933;71892;r
Poland;metr. t;425870;424276;419300;401300;398900;r
Portugal;metr. t;83081;74352;63812;49064;41553;r
Romania;metr. t;7710;8390;8160;8555;9180;r
Russia;metr. t;711400;702300;761100;870500;812400;r
Saudi Arabia;metr. t;12340;27840;43150;59200;68580;r
Serbia;metr. t;31601;34625;45115;44096;43550;r
Slovakia;metr. t;58;39;32;21;17;r
South Africa;metr. t;77360;65257;65532;46900;52501;r
Spain;metr. t;129788;172522;196353;187714;170700;r
Sweden;metr. t;75113;79247;104594;106140;99332;r
Tajikistan;metr. t;1390;2050;6060;8490;8500;r
Tanzania;metr. t;16800;17400;15800;10000;14187;r
Turkey;metr. t;108000;107300;85200;87000;73300;r
United States;metr. t;1380000;1430000;1260000;1220000;1260000;r
Uzbekistan;metr. t;100000;100000;100000;117000;147000;r
Vietnam;metr. t;24420;22300;21100;25300;29620;r
Zambia;metr. t;711515;774290;799329;857847;789942;r
Zimbabwe;metr. t;8218;9101;8839;9077;8731;r
Total;metr. t;19353851;20514227;20078160;20707609;20673358;
